"landmark","landmarkLabel","boroughLabel","latitude","longitude"
"http://dbpedia.org/resource/Roberto_Clemente_State_Park","Roberto Clemente State Park","New York (state)",40.85499954223633,-73.91999816894531
"http://dbpedia.org/resource/Roberto_Clemente_State_Park","Roberto Clemente State Park","The Bronx",40.85499954223633,-73.91999816894531
"http://dbpedia.org/resource/Roberto_Clemente_State_Park","Roberto Clemente State Park","New York City",40.85499954223633,-73.91999816894531
"http://dbpedia.org/resource/Rock_Rest","Rock Rest","Kittery, Maine",43.10555648803711,-70.67610931396484
"http://dbpedia.org/resource/Rockall","Rockall","Atlantic",57.59630584716797,-13.68730545043945
"http://dbpedia.org/resource/Rockland_Lake_State_Park","Rockland Lake State Park","Valley Cottage, New York",41.1349983215332,-73.92299652099609
"http://dbpedia.org/resource/Rockwell_House_(Norfolk,_Connecticut)","Rockwell House (Norfolk, Connecticut)","Norfolk, Connecticut",41.99333190917969,-73.19249725341797
"http://dbpedia.org/resource/Roosevelt_Island","Roosevelt Island","East River",40.76139068603516,-73.95083618164062
"http://dbpedia.org/resource/Roosevelt_Island","Roosevelt Island","New York County, New York",40.76139068603516,-73.95083618164062
"http://dbpedia.org/resource/Rose_Terrace_(Grosse_Pointe_Farms,_Michigan)","Rose Terrace (Grosse Pointe Farms, Michigan)","Grosse Pointe Farms, Michigan",42.38527679443359,-82.90000152587891
"http://dbpedia.org/resource/Round_Pond_(Connecticut)","Round Pond (Connecticut)","Fairfield County, Connecticut",41.30361175537109,-73.53666687011719
"http://dbpedia.org/resource/Roy_Wilkins_Park","Roy Wilkins Park","St. Albans, Queens",40.68777847290039,-73.77222442626953
"http://dbpedia.org/resource/Rucker_Park","Rucker Park","Manhattan",40.82956314086914,-73.93646240234375
"http://dbpedia.org/resource/Rucker_Park","Rucker Park","New York City",40.82956314086914,-73.93646240234375
"http://dbpedia.org/resource/Sara_D._Roosevelt_Park","Sara D. Roosevelt Park","Manhattan",40.71929931640625,-73.9927978515625
"http://dbpedia.org/resource/Sara_D._Roosevelt_Park","Sara D. Roosevelt Park","Lower East Side",40.71929931640625,-73.9927978515625
"http://dbpedia.org/resource/Sara_D._Roosevelt_Park","Sara D. Roosevelt Park","New York City",40.71929931640625,-73.9927978515625
